136	0	0	136	136						5000	1500	20
151	0	0	151	287								
165	0	0	165	452								
229	0	0	229	681								
258	0	0	258	939								
307	0	0	307	1246	1381							
356	0	0	356	1602								
369	0	0	369	1971								
404	0	0	404	2375								
548	548	548	0	2375								
559	559	1107	0	2375								
560	560	1667	0	2375								
665	665	2332	0	2375								
673	673	3005	0	2375								
783	783	3788	0	2375								
806	806	4594	0	2375								
850	850	5444	0	2375								
880	880	6324	0	2375								
968	968	7292	0	2375								
977	977	8269	0	2375								
